product,price,link
Gainward GeForce RTX 4070 Ti Phoenix GS 12GB GDDR6X,"4 599,00 zł",https://www.x-kom.pl/p/1117255-karta-graficzna-nvidia-gainward-geforce-rtx-4070-ti-phoenix-gs-12gb-gddr6x.html
Gainward GeForce RTX 4080 Phoenix 16GB GDDR6X,"6 279,00 zł",https://www.x-kom.pl/p/1107143-karta-graficzna-nvidia-gainward-geforce-rtx-4080-phoenix-16gb-gddr6x.html
Gigabyte Radeon RX 7900 XT GAMING OC 20GB GDDR6,"5 149,00 zł",https://www.x-kom.pl/p/1099095-karta-graficzna-amd-gigabyte-radeon-rx-7900-xt-gaming-oc-20gb-gddr6.html
MSI GeForce RTX 4070 Ti SUPRIM X 12GB GDDR6X,"5 249,00 zł",https://www.x-kom.pl/p/1098611-karta-graficzna-nvidia-msi-geforce-rtx-4070-ti-suprim-x-12gb-gddr6x.html
Gigabyte GeForce RTX 4070 Ti AORUS ELITE 12GB GDDR6X,"5 149,00 zł",https://www.x-kom.pl/p/1096142-karta-graficzna-nvidia-gigabyte-geforce-rtx-4070-ti-aorus-elite-12gb-gddr6x.html
Zotac GeForce RTX 4080 Gaming AMP Extreme AIRO 16GB GDDR,"6 959,00 zł",https://www.x-kom.pl/p/1085926-karta-graficzna-nvidia-zotac-geforce-rtx-4080-gaming-amp-extreme-airo-16gb-gddr.html
Gainward GeForce RTX 4080 Phantom GS 16GB GDDR6X,"6 799,00 zł",https://www.x-kom.pl/p/1083480-karta-graficzna-nvidia-gainward-geforce-rtx-4080-phantom-gs-16gb-gddr6x.html
ASUS GeForce RTX 4090 ROG Strix OC 24GB GDDR6X,"11 599,00 zł",https://www.x-kom.pl/p/1077106-karta-graficzna-nvidia-asus-geforce-rtx-4090-rog-strix-oc-24gb-gddr6x.html
Gigabyte GeForce RTX 4090 GAMING OC 24GB GDDR6X,"9 449,00 zł",https://www.x-kom.pl/p/1075870-karta-graficzna-nvidia-gigabyte-geforce-rtx-4090-gaming-oc-24gb-gddr6x.html
Inno3D GeForce RTX 4090 X3 OC 24GB GDDR6X,"9 199,00 zł",https://www.x-kom.pl/p/1075543-karta-graficzna-nvidia-inno3d-geforce-rtx-4090-x3-oc-24gb-gddr6x.html
MSI GeForce RTX 4090 GAMING X TRIO 24GB GDDR6X,"9 799,00 zł",https://www.x-kom.pl/p/1075537-karta-graficzna-nvidia-msi-geforce-rtx-4090-gaming-x-trio-24gb-gddr6x.html
Gigabyte Radeon RX 6400 EAGLE 4GB GDDR6,"779,00 zł",https://www.x-kom.pl/p/742553-karta-graficzna-amd-gigabyte-radeon-rx-6400-eagle-4gb-gddr6.html
EVGA GeForce RTX 3050 XC GAMING 8GB GDDR6,"1 399,00 zł",https://www.x-kom.pl/p/739169-karta-graficzna-nvidia-evga-geforce-rtx-3050-xc-gaming-8gb-gddr6.html
ASUS GeForce RTX 3050 Phoenix 8GB GDDR6,"1 899,00 zł",https://www.x-kom.pl/p/730072-karta-graficzna-nvidia-asus-geforce-rtx-3050-phoenix-8gb-gddr6.html
ASUS GeForce RTX 3050 Dual OC 8GB GDDR6,"2 099,00 zł",https://www.x-kom.pl/p/717581-karta-graficzna-nvidia-asus-geforce-rtx-3050-dual-oc-8gb-gddr6.html
MSI Radeon RX 6600 MECH 2X 8GB GDDR6,"1 499,00 zł",https://www.x-kom.pl/p/687690-karta-graficzna-amd-msi-radeon-rx-6600-mech-2x-8gb-gddr6.html
Zotac GeForce RTX 3070 Ti AMP Extreme Holo 8GB GDDR6X,"3 599,00 zł",https://www.x-kom.pl/p/687369-karta-graficzna-nvidia-zotac-geforce-rtx-3070-ti-amp-extreme-holo-8gb-gddr6x.html
MSI GeForce RTX 3070 Ti GAMING X TRIO LHR 8GB GDDR6X,"3 599,00 zł",https://www.x-kom.pl/p/655244-karta-graficzna-nvidia-msi-geforce-rtx-3070-ti-gaming-x-trio-lhr-8gb-gddr6x.html
Gigabyte GeForce GTX 1650 OC Low Profile 4GB GDDR5,"999,00 zł",https://www.x-kom.pl/p/651690-karta-graficzna-nvidia-gigabyte-geforce-gtx-1650-oc-low-profile-4gb-gddr5.html
ASUS Radeon RX 6700 XT DUAL 12GB GDDR6,"2 399,00 zł",https://www.x-kom.pl/p/643938-karta-graficzna-amd-asus-radeon-rx-6700-xt-dual-12gb-gddr6.html
Palit GeForce RTX 3060 Dual LHR 12GB GDDR6,"1 799,00 zł",https://www.x-kom.pl/p/633455-karta-graficzna-nvidia-palit-geforce-rtx-3060-dual-lhr-12gb-gddr6.html
Zotac GeForce GT 730 ZONE Edition Low Profile 2GB DDR3,"359,00 zł",https://www.x-kom.pl/p/605865-karta-graficzna-nvidia-zotac-geforce-gt-730-zone-edition-low-profile-2gb-ddr3.html
MSI GeForce GTX 1660 SUPER VENTUS XS OC 6GB GDDR6,"1 299,00 zł",https://www.x-kom.pl/p/520239-karta-graficzna-nvidia-msi-geforce-gtx-1660-super-ventus-xs-oc-6gb-gddr6.html
MSI GeForce GT 1030 2GHD4 LP OC 2GB DDR4,"439,00 zł",https://www.x-kom.pl/p/428856-karta-graficzna-nvidia-msi-geforce-gt-1030-2ghd4-lp-oc-2gb-ddr4.html
ASUS GeForce RTX 4080 ROG Strix WHITE OC 16GB GDDR6,"8 199,00 zł",https://www.x-kom.pl/p/1119790-karta-graficzna-nvidia-asus-geforce-rtx-4080-rog-strix-white-oc-16gb-gddr6.html
Zotac GeForce RTX 3060 Ti GAMING Twin Edge 8GB GDDR6X,"2 239,00 zł",https://www.x-kom.pl/p/1115580-karta-graficzna-nvidia-zotac-geforce-rtx-3060-ti-gaming-twin-edge-8gb-gddr6x.html
Zotac GeForce RTX 3060 Ti GAMING Twin Edge OC 8GB GDDR6X,"2 299,00 zł",https://www.x-kom.pl/p/1115579-karta-graficzna-nvidia-zotac-geforce-rtx-3060-ti-gaming-twin-edge-oc-8gb-gddr6x.html
Zotac GeForce RTX 4070 Ti GAMING AMP AIRO 12GB GDDR6X,"4 999,00 zł",https://www.x-kom.pl/p/1115578-karta-graficzna-nvidia-zotac-geforce-rtx-4070-ti-gaming-amp-airo-12gb-gddr6x.html
