product,price,link
ASRock B760M Steel Legend Wi‑Fi,"869,00 zł",https://www.x-kom.pl/p/1107462-plyta-glowna-socket-1700-asrock-b760m-steel-legend-wi-fi.html
ASRock B760M PG SONIC Wi‑Fi,"929,00 zł",https://www.x-kom.pl/p/1107456-plyta-glowna-socket-1700-asrock-b760m-pg-sonic-wi-fi.html
ASRock B760 Pro RS,"829,00 zł",https://www.x-kom.pl/p/1107452-plyta-glowna-socket-1700-asrock-b760-pro-rs.html
MSI PRO B760M‑G DDR4,"629,00 zł",https://www.x-kom.pl/p/1107438-plyta-glowna-socket-1700-msi-pro-b760m-g-ddr4.html
ASUS PRIME B760‑PLUS DDR4,"879,00 zł",https://www.x-kom.pl/p/1104366-plyta-glowna-socket-1700-asus-prime-b760-plus-ddr4.html
ASUS PRIME B760M‑A DDR4,"869,00 zł",https://www.x-kom.pl/p/1104363-plyta-glowna-socket-1700-asus-prime-b760m-a-ddr4.html
Biostar B660MX‑E PRO,"529,00 zł",https://www.x-kom.pl/p/1094477-plyta-glowna-socket-1700-biostar-b660mx-e-pro.html
ASRock Z790 Steel Legend WIFI,"1 479,00 zł",https://www.x-kom.pl/p/1084757-plyta-glowna-socket-1700-asrock-z790-steel-legend-wifi.html
ASRock Z790 Taichi,"2 579,00 zł",https://www.x-kom.pl/p/1084683-plyta-glowna-socket-1700-asrock-z790-taichi.html
Biostar H610MHP,"389,00 zł",https://www.x-kom.pl/p/1083912-plyta-glowna-socket-1700-biostar-h610mhp.html
Gigabyte B650M AORUS ELITE AX,"1 199,00 zł",https://www.x-kom.pl/p/1079940-plyta-glowna-socket-am5-gigabyte-b650m-aorus-elite-ax.html
ASUS TUF GAMING B650M‑PLUS WIFI,"1 199,00 zł",https://www.x-kom.pl/p/1079841-plyta-glowna-socket-am5-asus-tuf-gaming-b650m-plus-wifi.html
ASUS TUF GAMING B650‑PLUS WIFI,"1 239,00 zł",https://www.x-kom.pl/p/1079838-plyta-glowna-socket-am5-asus-tuf-gaming-b650-plus-wifi.html
ASRock B650M PG RIPTIDE,"899,00 zł",https://www.x-kom.pl/p/1079831-plyta-glowna-socket-am5-asrock-b650m-pg-riptide.html
ASRock B650E STEEL LEGEND WIFI,"1 389,00 zł",https://www.x-kom.pl/p/1079829-plyta-glowna-socket-am5-asrock-b650e-steel-legend-wifi.html
ASRock B650 PG LIGHTNING,"1 029,00 zł",https://www.x-kom.pl/p/1079824-plyta-glowna-socket-am5-asrock-b650-pg-lightning.html
ASRock B650 LIVEMIXER,"1 169,00 zł",https://www.x-kom.pl/p/1079819-plyta-glowna-socket-am5-asrock-b650-livemixer.html
ASUS TUF GAMING Z790‑PLUS DDR4,"1 649,00 zł",https://www.x-kom.pl/p/1075902-plyta-glowna-socket-1700-asus-tuf-gaming-z790-plus-ddr4.html
ASUS ROG STRIX Z790‑I GAMING WIFI,"2 379,00 zł",https://www.x-kom.pl/p/1075892-plyta-glowna-socket-1700-asus-rog-strix-z790-i-gaming-wifi.html
