product,price,link
AMD Ryzen 3 4300G,"499,00 zł",https://www.x-kom.pl/p/1079412-procesor-amd-ryzen-3-amd-ryzen-3-4300g.html
AMD Ryzen 3 4100,"339,00 zł",https://www.x-kom.pl/p/735711-procesor-amd-ryzen-3-amd-ryzen-3-4100.html
Intel Core i9‑12900KS,"2 499,00 zł",https://www.x-kom.pl/p/724253-procesor-intel-core-i9-intel-core-i9-12900ks.html
Intel Core i5‑12500,"1 279,00 zł",https://www.x-kom.pl/p/702233-procesory-intel-core-i5-intel-core-i5-12500.html
Intel Core i5‑12600,"1 339,00 zł",https://www.x-kom.pl/p/702230-procesory-intel-core-i5-intel-core-i5-12600.html
Intel Core i7‑12700F,"1 699,00 zł",https://www.x-kom.pl/p/702227-procesor-intel-core-i7-intel-core-i7-12700f.html
Intel Core i3‑10105F,"399,00 zł",https://www.x-kom.pl/p/638664-procesor-intel-core-i3-intel-core-i3-10105f.html
Intel Core i3‑10105,"569,00 zł",https://www.x-kom.pl/p/638657-procesor-intel-core-i3-intel-core-i3-10105.html
Intel Core i9‑11900,"2 199,00 zł",https://www.x-kom.pl/p/626767-procesor-intel-core-i9-intel-core-i9-11900.html
Intel Core i7‑11700,"1 419,00 zł",https://www.x-kom.pl/p/626760-procesor-intel-core-i7-intel-core-i7-11700.html
Intel Pentium Gold G6400,"359,00 zł",https://www.x-kom.pl/p/577820-procesor-intel-pentium-intel-pentium-gold-g6400.html
Intel Core i5‑10600K,"1 199,00 zł",https://www.x-kom.pl/p/564455-procesory-intel-core-i5-intel-core-i5-10600k.html
Intel Core i3‑13100,"749,00 zł",https://www.x-kom.pl/p/1101181-procesor-intel-core-i3-intel-core-i3-13100.html
Intel Core i9‑13900KF,"2 999,00 zł",https://www.x-kom.pl/p/1073569-procesor-intel-core-i9-intel-core-i9-13900kf.html
Intel Core i9‑12900F,"2 499,00 zł",https://www.x-kom.pl/p/702223-procesor-intel-core-i9-intel-core-i9-12900f.html
Intel Core i9‑12900,"2 799,00 zł",https://www.x-kom.pl/p/702219-procesor-intel-core-i9-intel-core-i9-12900.html
Intel Core i9‑11900F,"1 899,00 zł",https://www.x-kom.pl/p/626769-procesor-intel-core-i9-intel-core-i9-11900f.html
Intel Core i9‑11900K,"1 799,00 zł",https://www.x-kom.pl/p/626765-procesor-intel-core-i9-intel-core-i9-11900k.html
Intel Core i7‑11700F,"1 329,00 zł",https://www.x-kom.pl/p/626763-procesor-intel-core-i7-intel-core-i7-11700f.html
Intel Core i7‑11700KF,"1 499,00 zł",https://www.x-kom.pl/p/626762-procesor-intel-core-i7-intel-core-i7-11700kf.html
Intel Core i5‑11500,"1 149,00 zł",https://www.x-kom.pl/p/626744-procesory-intel-core-i5-intel-core-i5-11500.html
Intel Core i5‑11600,"1 399,00 zł",https://www.x-kom.pl/p/626733-procesory-intel-core-i5-intel-core-i5-11600.html
Intel Core i5‑10600,"1 199,00 zł",https://www.x-kom.pl/p/564461-procesory-intel-core-i5-intel-core-i5-10600.html
Intel Core i5‑10600KF,"949,00 zł",https://www.x-kom.pl/p/564447-procesory-intel-core-i5-intel-core-i5-10600kf.html
Intel Core i7‑10700KF,"1 539,00 zł",https://www.x-kom.pl/p/564438-procesor-intel-core-i7-intel-core-i7-10700kf.html
Intel Core i9‑10900F,"1 999,00 zł",https://www.x-kom.pl/p/564434-procesor-intel-core-i9-intel-core-i9-10900f.html
